timestep,impact
331,17.16792356967926
332,17.342682108283043
333,17.307447403669357
334,17.29443645477295
335,17.984124675393105
336,18.49539750814438
337,17.42017001658678
338,17.275140322744846
339,17.248360097408295
340,17.339622732251883
341,17.279822923243046
342,17.276115015149117
343,17.054901774972677
344,17.073293767869473
345,17.063231095671654
346,17.056899420917034
347,17.032614834606647
348,17.0347857773304
349,17.006626084446907
350,17.002855971455574
351,16.997598327696323
352,16.989579163491726
353,16.981769300997257
354,17.33758121728897
355,17.787880092859268
356,17.33287711441517
357,17.3313460201025
358,17.01226519048214
359,17.00512259453535
360,17.157784312963486
361,17.30685879290104
362,17.104566633701324
363,17.097987666726112
364,17.06360835582018
365,17.71620039641857
366,17.95937091112137
367,17.262041501700878
368,17.079415559768677
369,16.82064574211836
370,16.84591793641448
371,16.837803710252047
372,16.83044672384858
373,16.80744194239378
374,17.873680591583252
375,17.869105756282806
376,17.29228502511978
377,16.790097668766975
378,17.250978991389275
379,17.740518987178802
380,17.52327634394169
381,17.5048318952322
382,16.780721217393875
383,17.160842046141624
384,17.1440761834383
385,17.135367929935455
386,17.574517980217934
387,17.60525668412447
388,17.54606992006302
389,17.443234123289585
390,17.84576177597046
391,17.35530959814787
392,17.327160224318504
393,17.44117385149002
394,17.067771591246128
395,17.05156621336937
396,17.35391490161419
397,17.32039324939251
398,17.113482803106308
399,17.301328100264072
400,17.433757320046425
401,17.22410523146391
402,17.192144215106964
403,17.166809231042862
404,17.15448398888111
405,17.146654561161995
406,17.36276165395975
407,17.327889554202557
408,17.30807538330555
409,17.61358054727316
410,18.112599790096283
411,17.35793775320053
412,17.45597667992115
413,17.09086798131466
414,17.111525863409042
415,17.107858955860138
416,17.252214029431343
417,17.97948944568634
418,17.052229300141335
419,17.27279432117939
420,17.501489609479904
421,15.167614467442036
422,15.265676937997341
423,15.53426954895258
424,16.279496729373932
425,15.521262496709824
426,15.508220188319683
427,17.0958589091897
428,17.182737924158573
429,17.65036629140377
430,17.172172360122204
431,17.37120469659567
432,17.519021660089493
433,17.99109372496605
434,17.492923229932785
435,17.35397458076477
436,17.212727777659893
437,16.995023295283318
438,16.987598404288292
439,17.05277429521084
440,16.972367614507675
441,17.568466886878014
442,17.8011272251606
443,17.332130938768387
444,17.2698385566473
445,17.16411203145981
446,17.312855526804924
447,17.263605140149593
448,17.24329474568367
449,17.66590742766857
450,18.23733812570572
451,17.656418059021235
452,17.661422789096832
453,17.469898149371147
454,17.745283365249634
455,17.363859385252
456,16.957931861281395
457,17.298616752028465
458,17.1459773555398
459,17.248508110642433
460,18.26021134853363
461,17.40404835343361
462,17.245878413319588
463,17.410146474838257
464,17.628564089536667
465,17.502807095646858
466,18.044506639242172
467,16.833267524838448
468,16.833000276237726
469,16.821434181183577
470,17.71411384642124
471,17.830718755722046
472,17.1712314337492
473,17.275768876075745
474,17.792339324951172
475,17.034188449382782
476,17.288211181759834
477,17.939242899417877
478,17.138563126325607
479,17.09430982172489
480,17.368097871541977
481,17.44372421503067
482,17.350072748959064
483,17.97153327614069
484,18.41310840845108
485,17.361440002918243
486,17.304493002593517
487,17.308123365044594
488,17.063605397939682
489,17.062980473041534
490,17.328059643507004
491,18.06808152794838
492,17.443536959588528
493,17.50053419917822
494,17.3347320407629
495,17.502479299902916
496,18.194111168384552
497,17.684371404349804
498,17.473276183009148
499,17.19763919711113
500,16.93733438849449
501,17.36162304878235
502,17.65447038412094
503,17.13942301273346
504,17.12211325764656
505,17.105205334722996
506,17.24331261217594
507,17.69642946124077
508,18.446983575820923
509,17.824622310698032
510,17.415477879345417
511,17.07635223865509
512,17.334123611450195
513,17.526809215545654
514,16.932360634207726
515,16.868290200829506
516,17.111620217561722
517,17.29931838810444
518,17.239462569355965
519,17.410420790314674
520,17.961991012096405
521,16.010452296584845
522,15.573469072580338
523,15.163347244262695
524,15.203247152268887
525,15.169901821762323
526,15.167614467442036
527,15.167614467442036
528,15.641872704029083
529,15.997249737381935
530,16.825710654258728
531,17.41625515371561
532,17.101858738809824
533,17.069796565920115
534,17.42905256152153
535,17.71514230966568
536,17.08067511767149
537,17.107953161001205
538,17.289757877588272
539,17.32636308670044
540,17.493148170411587
541,18.01653629541397
542,17.615959748625755
543,17.353142134845257
544,17.335589610040188
545,17.1162224188447
546,17.157423935830593
547,17.077992908656597
