traffic_state,green_phase_probability
Emergency,0.34395853
Emergency,0.34385663
Emergency,0.34374222
Emergency,0.3461016
Emergency,0.34367207
Emergency,0.34350178
Emergency,0.34333667
Emergency,0.30653867
Emergency,0.29099613
Emergency,0.35697713
Emergency,0.35532567
Emergency,0.35662594
Emergency,0.35540432
Emergency,0.3568111
Emergency,0.35549036
Emergency,0.343988
Emergency,0.33366778
Emergency,0.28991562
Emergency,0.3423208
Emergency,0.3385655
Emergency,0.33667165
Emergency,0.34073278
Emergency,0.34064656
Emergency,0.31353527
Emergency,0.28392574
Emergency,0.35503206
Emergency,0.34386012
Emergency,0.3426539
Emergency,0.33120322
Emergency,0.28777367
Emergency,0.29326916
Emergency,0.2763702
Emergency,0.3585691
Emergency,0.36054158
Emergency,0.33894497
Emergency,0.3346315
Emergency,0.2828472
Emergency,0.3293792
Emergency,0.33897638
Emergency,0.33825493
Emergency,0.30587846
Emergency,0.27106696
Emergency,0.3554063
Emergency,0.3476938
Emergency,0.35880467
Emergency,0.35744894
Emergency,0.35915342
Emergency,0.35862607
Emergency,0.35909545
Emergency,0.3650055
Emergency,0.35484037
Emergency,0.34531027
Emergency,0.33938113
Emergency,0.33540523
Emergency,0.2914256
Emergency,0.3426073
Emergency,0.34331733
Emergency,0.34607473
Emergency,0.34361166
Emergency,0.34353516
Emergency,0.3458519
Emergency,0.34321034
Emergency,0.3429935
Emergency,0.3427723
Emergency,0.34256202
Emergency,0.34434327
Emergency,0.34157357
Emergency,0.34191054
Emergency,0.3410814
Emergency,0.34153637
Emergency,0.3413581
Emergency,0.33931693
Emergency,0.34117293
Emergency,0.34245434
Emergency,0.34089985
Emergency,0.3407632
Emergency,0.3363423
Emergency,0.31367454
Emergency,0.29673702
Emergency,0.35252202
Emergency,0.35570368
Emergency,0.35189065
Emergency,0.3584363
Emergency,0.3401713
Emergency,0.33271304
Emergency,0.26460353
Emergency,0.3343204
Emergency,0.33936
Emergency,0.33901942
Emergency,0.33921415
Emergency,0.33913538
Emergency,0.33837947
Emergency,0.33546928
Emergency,0.33381483
Emergency,0.33683962
Emergency,0.33546928
Emergency,0.32434615
Emergency,0.27815378
Emergency,0.3570433
Emergency,0.3575599
Emergency,0.3596258
Emergency,0.3548406
Emergency,0.35468265
Emergency,0.3552611
Emergency,0.35453305
Emergency,0.35452
Emergency,0.33958104
Emergency,0.34264877
Emergency,0.3353216
Emergency,0.28213984
Emergency,0.33939075
Emergency,0.33691636
Emergency,0.33633712
Emergency,0.34117115
Emergency,0.34332514
Emergency,0.3205668
Emergency,0.29493988
Emergency,0.35330063
Emergency,0.35872316
Emergency,0.34970355
Emergency,0.34853974
Emergency,0.3465426
Emergency,0.34577647
Emergency,0.33989498
Emergency,0.33508036
Emergency,0.3004965
Emergency,0.34167704
Emergency,0.34347373
Emergency,0.3433889
Emergency,0.3211966
Emergency,0.28968686
Emergency,0.35487232
Emergency,0.3549792
Emergency,0.33908632
Emergency,0.33881977
Emergency,0.34626988
Emergency,0.3309002
Emergency,0.28563324
Emergency,0.31528163
Emergency,0.298856
Emergency,0.33799344
Emergency,0.34663427
Emergency,0.35735893
Emergency,0.35754785
Emergency,0.34345514
Emergency,0.33964565
Emergency,0.3370057
Emergency,0.33947295
Emergency,0.31242394
Emergency,0.27153027
Emergency,0.3393198
Emergency,0.33939958
Emergency,0.33647233
Emergency,0.33888042
Emergency,0.33619937
Emergency,0.33567905
Emergency,0.33861127
Emergency,0.3401927
Emergency,0.34259784
Emergency,0.3437005
Emergency,0.34411657
Emergency,0.3434532
Emergency,0.34400564
Emergency,0.34389725
Emergency,0.34372064
Emergency,0.34359694
Emergency,0.34347647
Emergency,0.32089707
Emergency,0.29015958
Emergency,0.3566773
Emergency,0.35676965
Emergency,0.356818
Emergency,0.35536623
Emergency,0.3437976
Emergency,0.3374403
Emergency,0.34549284
