timestep,value,advantage
183,-16.902250289916992,0.06820271909236908
184,-16.90923500061035,0.07417775690555573
185,-16.904909133911133,0.07371100783348083
186,-17.47154998779297,0.1290595531463623
187,-17.52574348449707,0.24155405163764954
188,-17.203975677490234,0.1560124158859253
189,-16.91592025756836,0.11381857842206955
190,-16.89460563659668,0.1303551346063614
191,-16.905536651611328,0.11519601196050644
192,-16.88100242614746,0.13170263171195984
193,-16.89297103881836,0.11648454517126083
194,-17.11164093017578,0.050510652363300323
195,-17.49101448059082,0.0073206424713134766
196,-17.735004425048828,0.3044147491455078
197,-17.109561920166016,0.06316286325454712
198,-17.06776237487793,0.04508180916309357
199,-17.169788360595703,0.032319746911525726
200,-16.827733993530273,0.062499579042196274
201,-16.823802947998047,0.061940278857946396
202,-17.247737884521484,0.09917378425598145
203,-17.548738479614258,0.27726563811302185
204,-17.53314971923828,0.1646592617034912
205,-17.495595932006836,0.07892602682113647
206,-17.41278839111328,0.05721532553434372
207,-17.3895263671875,0.029690921306610107
208,-17.849632263183594,0.27229049801826477
209,-18.02882194519043,0.1964341253042221
210,-17.734708786010742,0.30822330713272095
211,-17.183265686035156,0.1776275634765625
212,-16.78252410888672,0.14216482639312744
213,-17.073162078857422,0.022331461310386658
214,-17.23377227783203,0.009447768330574036
215,-17.691158294677734,0.3357657790184021
216,-17.319860458374023,0.01189565658569336
217,-16.768009185791016,0.049677055329084396
218,-16.778600692749023,0.051519621163606644
219,-17.267608642578125,0.13576164841651917
220,-18.085315704345703,0.3228667974472046
221,-17.21607780456543,0.10110568255186081
222,-17.142648696899414,0.07365521788597107
223,-17.011613845825195,0.12818172574043274
224,-16.93537712097168,0.1147320419549942
225,-16.98361587524414,0.12866204977035522
226,-16.982206344604492,0.1225009560585022
227,-16.987642288208008,0.1264720857143402
228,-17.03773307800293,0.17218437790870667
229,-16.958656311035156,0.10091666877269745
230,-17.154191970825195,0.04814211279153824
231,-17.316017150878906,0.018062099814414978
232,-17.47384262084961,0.020935222506523132
233,-17.944149017333984,0.295163631439209
234,-17.15325927734375,0.05662553757429123
235,-17.149921417236328,0.06761417537927628
236,-16.957889556884766,0.09299852699041367
237,-16.91636085510254,0.07415799796581268
238,-16.91141700744629,0.07417154312133789
239,-16.917156219482422,0.0873604267835617
240,-16.902711868286133,0.07326750457286835
241,-16.89893913269043,0.0725061297416687
242,-16.895078659057617,0.07172711193561554
243,-16.89116859436035,0.07098935544490814
244,-16.89765167236328,0.08650553971529007
245,-16.888566970825195,0.059727538377046585
246,-16.873329162597656,0.06861008703708649
247,-16.888935089111328,0.05770821496844292
248,-16.85901641845703,0.06712014973163605
249,-16.85117530822754,0.06639616191387177
250,-16.89371681213379,0.048731014132499695
251,-16.841035842895508,0.0652426928281784
252,-16.84623146057129,0.07580340653657913
253,-16.832962036132812,0.06360185146331787
254,-16.828792572021484,0.06269817054271698
255,-16.869365692138672,0.033536769449710846
256,-17.249834060668945,0.09844280779361725
257,-17.322465896606445,0.2109677791595459
258,-16.831809997558594,0.10792537033557892
259,-16.843576431274414,0.13730226457118988
260,-16.81617546081543,0.10587962716817856
261,-16.809350967407227,0.13413512706756592
262,-17.091678619384766,0.03165385127067566
263,-17.253826141357422,0.01797880232334137
264,-18.118457794189453,0.42352256178855896
265,-17.058664321899414,0.020060673356056213
266,-16.786283493041992,0.05270726606249809
267,-16.78374481201172,0.05624258145689964
268,-16.777563095092773,0.05157293751835823
269,-16.773813247680664,0.05093858763575554
270,-16.779438018798828,0.05228715017437935
271,-15.464926719665527,0.038045573979616165
272,-15.917651176452637,0.07534423470497131
273,-16.07903480529785,0.04174866899847984
274,-16.29450798034668,0.011035114526748657
275,-17.038806915283203,0.14269134402275085
276,-16.30974769592285,0.07650259137153625
277,-16.28097152709961,0.11896400153636932
278,-15.980794906616211,0.3027942180633545
279,-17.082834243774414,0.013024665415287018
280,-17.08067512512207,0.012920275330543518
281,-17.061859130859375,0.02228163182735443
282,-17.082834243774414,0.013024665415287018
283,-17.293407440185547,0.041292883455753326
284,-17.75397300720215,0.306262344121933
285,-17.23348045349121,0.14254775643348694
286,-16.960773468017578,0.11556187272071838
287,-16.97310447692871,0.13449719548225403
288,-16.960386276245117,0.1006404384970665
289,-16.95403480529785,0.10154250264167786
290,-16.95230484008789,0.11417106539011002
291,-16.94895362854004,0.10329630225896835
292,-16.947677612304688,0.1042596846818924
293,-17.289724349975586,0.02066950500011444
294,-17.290781021118164,0.039030298590660095
295,-17.44558334350586,0.018776558339595795
296,-18.26767349243164,0.300514280796051
297,-17.447816848754883,0.04286815598607063
298,-17.27155303955078,0.025164302438497543
299,-17.006364822387695,0.02969059720635414
300,-17.023754119873047,0.05169462412595749
301,-16.991153717041016,0.06458161771297455
302,-17.401893615722656,0.0643809586763382
303,-17.434410095214844,0.2256259024143219
304,-17.28607177734375,0.11764810234308243
305,-17.001890182495117,0.1266256421804428
306,-17.277786254882812,0.07686332613229752
307,-17.150665283203125,0.07702996581792831
308,-17.116601943969727,0.053521718829870224
309,-17.064233779907227,0.050092700868844986
310,-17.24753761291504,0.0195925310254097
